Year,Brand,ENTREPRENEURSHIP,QUALITY OF LIFE,SOCIAL PURPOSE,CULTURAL INFLUENCE,OPEN FOR BUSINESS,ADVENTURE,POWER,HERITAGE,MOVERS,OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Costa Rica,3.01,14.20,8.96,15.39,67.38,61.17,0.31,11.48,24.33,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Czechia,17.34,24.33,24.93,5.78,40.14,17.54,2.04,27.76,1.75,18.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Denmark,70.99,92.25,96.06,41.75,74.11,31.54,11.23,16.47,21.39,85.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Dominican Republic,0.89,8.74,5.93,12.51,60.73,48.81,0.80,6.49,17.92,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Egypt,4.76,2.81,0.78,19.62,25.65,20.13,13.02,56.98,74.39,18.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,France,67.15,54.84,68.84,100.00,50.17,51.40,63.61,90.37,25.28,90.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Germany,100.00,81.42,83.59,51.34,60.13,14.60,85.21,45.98,36.26,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Greece,10.87,14.14,16.41,33.11,30.95,67.93,4.75,90.57,39.83,29.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Guatemala,0.00,5.19,2.87,1.57,46.15,17.19,2.72,6.18,19.33,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Hungary,14.67,18.03,18.95,5.49,42.26,18.85,0.39,32.99,0.00,15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,India,26.87,18.80,4.84,27.83,46.95,22.10,24.19,71.15,100.00,41.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indonesia,7.77,15.24,2.12,8.94,49.63,29.60,5.05,21.92,40.11,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Iran,2.68,0.00,0.00,2.31,10.10,0.00,28.43,9.38,28.82,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ireland,46.78,56.98,62.89,27.15,67.82,51.08,4.54,43.89,30.10,61.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Israel,38.00,14.81,14.39,12.80,29.83,4.53,56.73,30.47,62.62,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Italy,44.57,36.22,40.91,99.71,41.50,89.34,18.19,100.00,35.90,69.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Japan,99.35,62.48,45.99,70.54,50.55,26.86,60.64,65.51,83.08,93.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Jordan,2.59,4.78,1.26,4.21,33.44,5.00,10.99,15.22,29.17,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Kazakhstan,1.75,3.74,1.24,1.04,36.21,4.12,6.41,1.33,33.81,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Luxembourg,55.34,63.06,73.15,32.80,100.00,19.89,6.33,13.02,10.87,68.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Malaysia,15.04,22.53,4.66,14.13,63.63,33.43,2.98,20.11,51.20,26.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Mexico,9.61,15.24,5.71,29.09,38.82,60.48,5.41,73.07,53.51,27.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Morocco,3.59,8.91,1.26,18.85,44.75,36.35,1.89,45.76,64.43,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Netherlands,75.66,84.89,95.88,43.79,70.42,43.76,14.19,34.65,20.87,86.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,New Zealand,55.13,82.08,83.38,39.61,71.84,70.66,5.53,21.87,60.63,82.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Nigeria,2.30,3.78,1.11,2.44,32.55,4.24,5.78,0.00,23.42,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Pakistan,3.40,3.38,0.65,1.74,28.84,1.94,16.84,4.36,27.40,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Panama,5.94,8.26,6.00,6.88,73.96,36.66,1.54,7.17,40.15,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Peru,1.73,13.25,5.50,10.67,53.95,37.22,1.86,39.94,59.41,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Philippines,9.92,18.37,5.13,9.56,60.70,42.46,2.02,15.88,42.17,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Portugal,24.36,34.76,38.27,25.57,49.30,61.00,2.56,64.81,7.94,38.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Romania,5.58,9.83,7.20,3.61,35.13,14.91,1.55,13.40,15.69,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Russian Federation,38.25,9.55,6.24,24.53,0.00,13.38,94.09,43.49,70.99,36.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Saudi Arabia,20.57,19.25,3.00,15.37,16.91,1.62,49.25,10.65,74.63,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Singapore,70.78,46.18,26.23,41.47,70.37,30.77,12.05,22.67,98.27,67.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,South Africa,18.44,5.46,11.19,13.93,26.94,34.92,9.74,24.10,73.76,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"Korea, Republic of",66.37,25.78,15.07,24.01,41.00,7.81,41.12,16.81,62.98,46.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Spain,41.04,41.76,44.06,78.09,49.01,85.24,13.62,95.35,27.89,64.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sri Lanka,1.90,12.72,1.68,7.15,55.55,23.74,1.96,15.11,62.51,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sweden,84.44,94.75,100.00,51.62,77.74,39.22,15.42,18.91,35.62,96.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Thailand,12.60,22.46,3.42,32.13,68.14,76.35,2.99,65.11,91.13,41.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Tunisia,1.57,8.25,1.48,5.26,42.70,15.80,2.74,16.95,25.19,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Turkey,12.74,16.38,3.49,22.16,27.74,37.17,15.84,60.05,49.52,23.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ukraine,6.80,1.50,4.26,1.09,17.89,6.70,9.76,5.93,16.16,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,United Kingdom,86.21,72.85,84.04,72.17,57.91,24.17,84.75,59.98,20.76,97.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,United States,96.39,54.32,70.57,80.49,50.29,32.24,100.00,38.49,42.38,97.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
